IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
CXCR4	20.191	114.7	12.58	60.565	24.817	17.948	98.773	10.172	22.067	20.022	26.805	18.412	22.782	ENSG00000121966.7
CXCR5	0.0	1.457	0.0	0.054	0.0	0.25	0.0	0.151	1.134	0.973	0.462	0.099	0.741	ENSG00000160683.5
CXCR6	0.996	13.405	3.683	1.617	6.204	3.42	0.495	1.995	3.559	4.164	5.802	2.369	4.506	ENSG00000172215.6
CXorf21	0.809	19.186	0.534	3.464	1.296	0.139	0.251	0.0	1.032	2.6	1.255	2.238	1.395	ENSG00000120280.6
CXorf23	6.352	18.772	11.404	18.493	24.652	19.769	15.626	15.123	40.428	33.18	44.483	13.388	29.28	
CXorf36	3.107	6.79	4.142	6.637	5.093	0.647	1.982	0.309	4.483	1.514	2.352	3.152	5.77	
CXorf38	8.275	13.847	16.309	8.931	14.307	7.07	5.386	5.149	17.747	26.023	17.019	9.14	18.918	ENSG00000185753.13
CXorf40A	5.844	3.488	6.205	4.626	3.445	4.997	1.693	3.465	13.191	10.173	10.818	4.216	9.672	
CXorf40B	19.959	7.094	11.178	13.99	8.645	15.607	20.047	12.791	35.291	34.12	26.647	17.795	29.509	
CXorf56	8.09	8.655	8.721	5.021	2.297	7.12	7.98	3.431	9.088	16.579	10.496	5.084	6.254	ENSG00000018610.15
CXorf57	0.095	6.381	0.252	0.086	0.261	1.833	35.555	0.533	0.162	0.408	0.546	0.468	1.711	
CXorf67	0.0	0.0	0.0	0.0	0.371	0.0	22.647	0.127	0.517	0.217	0.097	0.0	0.311	
CXXC1	13.157	19.246	14.269	31.69	19.74	14.677	3.62	22.185	36.372	26.098	13.96	16.201	15.856	ENSG00000154832.15
CXXC4	0.891	1.975	1.291	12.761	0.3	11.078	81.131	0.531	0.953	5.535	0.44	0.889	22.932	ENSG00000168772.11
CXXC5	72.478	102.468	92.415	132.013	102.388	48.832	47.613	93.815	51.954	131.489	62.908	103.531	181.471	ENSG00000171604.12
CYB561	80.126	150.186	180.076	189.269	159.687	265.195	40.282	152.222	272.712	224.76	173.161	200.74	184.786	ENSG00000008283.16
CYB561A3	10.853	18.706	17.879	20.822	89.795	19.687	3.777	22.952	18.061	21.187	19.666	31.206	45.898	ENSG00000162144.10
CYB561D1	11.17	8.875	16.453	8.65	8.06	4.266	5.065	3.545	12.823	14.872	21.518	7.77	8.608	ENSG00000174151.15
CYB561D2	22.355	12.317	18.512	33.757	14.732	9.258	2.955	7.185	14.826	13.829	23.306	13.271	16.115	ENSG00000114395.11
CYB5A	201.54	277.65	186.582	203.274	98.19	309.846	41.529	216.775	66.735	93.429	57.678	147.0	89.899	ENSG00000166347.19
CYB5B	44.696	27.895	55.462	26.286	18.121	23.993	25.359	19.715	54.102	41.172	46.279	27.286	29.911	ENSG00000103018.17
CYB5D1	12.476	41.432	19.599	26.82	35.743	53.1	35.655	21.778	50.733	24.89	24.352	33.32	37.097	ENSG00000182224.12
CYB5D2	17.898	14.048	31.347	33.479	28.409	22.772	9.749	12.251	53.278	23.899	21.294	17.25	24.232	ENSG00000167740.10
CYB5R1	59.312	30.411	45.397	42.003	64.347	40.874	50.373	14.364	35.86	35.777	79.186	29.064	34.792	ENSG00000159348.13
CYB5R2	2.141	0.672	6.993	0.439	2.674	13.501	0.0	0.609	4.471	3.755	1.115	2.314	11.566	ENSG00000166394.15
CYB5R3	273.775	238.087	188.52	138.997	137.468	32.123	44.41	69.099	145.486	91.728	150.673	178.824	121.034	ENSG00000100243.21
CYB5R4	9.277	19.457	7.055	11.175	10.173	9.518	9.017	3.741	7.715	24.112	20.828	9.046	10.616	ENSG00000065615.14
CYB5RL	11.591	12.992	7.225	7.273	21.033	3.415	2.942	7.239	6.213	19.664	12.871	8.706	9.297	ENSG00000215883.10
CYBA	13.852	32.018	12.33	7.595	11.915	0.0	0.405	3.694	9.19	19.169	9.164	12.891	14.657	ENSG00000051523.11
CYBB	15.227	200.015	31.176	36.716	29.63	3.83	6.357	2.292	20.451	37.775	25.049	60.402	34.004	ENSG00000165168.8
CYBRD1	26.429	113.711	363.639	81.525	106.353	4.043	4.569	3.03	34.866	42.522	49.384	31.013	134.694	ENSG00000071967.12
CYC1	127.996	102.948	181.69	115.147	114.485	81.19	90.137	78.413	124.543	127.339	166.688	125.883	98.559	ENSG00000179091.5
CYCS	272.58	129.678	93.98	158.082	92.68	83.226	199.311	124.527	69.511	172.378	203.903	219.217	115.287	ENSG00000172115.9
CYFIP1	28.612	40.367	35.574	65.335	19.184	27.706	15.312	13.428	36.985	25.491	44.08	38.232	67.326	ENSG00000273749.5
CYFIP2	33.511	48.564	72.085	17.831	57.72	65.545	33.393	35.445	29.837	27.145	99.553	51.226	33.674	ENSG00000055163.20
CYGB	3.792	7.057	9.691	15.319	35.022	1.223	3.754	3.449	8.936	4.579	2.465	23.057	18.892	ENSG00000161544.10
CYHR1	14.054	14.697	39.034	20.384	41.117	19.072	20.05	16.488	33.739	29.438	35.651	16.183	25.801	ENSG00000187954.13
CYLD	11.888	27.44	24.693	14.331	8.852	10.908	9.351	11.652	20.723	32.955	16.66	8.537	20.236	ENSG00000083799.18
CYP19A1	0.0	0.07	0.087	0.0	0.0	0.0	1.77	0.0	0.0	0.307	0.039	0.168	0.063	ENSG00000137869.15
CYP1A1	0.048	0.0	0.0	0.0	0.0	6.109	0.632	0.0	0.124	0.0	4.106	0.478	0.391	ENSG00000140465.14
CYP1A2	7.175	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000140505.7
CYP1B1	10.423	108.703	435.452	35.069	40.454	1003.496	4.627	6.827	472.922	28.92	28.14	28.322	40.04	ENSG00000138061.12
CYP20A1	9.045	19.951	13.608	25.474	21.22	9.38	9.204	18.263	16.727	19.176	26.583	22.232	15.02	ENSG00000119004.16
CYP24A1	0.076	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.062	0.274	0.047	0.088	ENSG00000019186.10
CYP26A1	2.455	18.553	0.163	0.347	0.422	0.0	0.954	0.0	0.0	0.165	0.147	0.0	0.766	ENSG00000095596.12
CYP26B1	1.769	2.436	0.086	5.756	0.961	1.449	3.757	0.353	3.731	2.477	0.89	4.318	1.983	ENSG00000003137.8
CYP27A1	22.213	7.21	1.239	4.599	5.359	0.0	0.208	0.732	1.139	3.498	1.758	1.098	1.539	ENSG00000135929.9
CYP27B1	1.223	1.849	9.249	0.76	4.487	4.215	0.095	4.021	2.742	4.768	0.586	2.263	1.644	ENSG00000111012.10
CYP2A6	36.004	0.192	0.118	0.101	0.204	0.0	0.831	0.279	0.568	0.478	2.766	0.548	0.427	ENSG00000255974.8
CYP2B6	14.316	0.0	0.0	0.0	0.0	0.0	48.932	0.0	0.0	0.0	0.0	0.051	0.0	ENSG00000197408.10
CYP2B7P	3.099	0.0	0.137	0.058	0.0	0.089	0.0	0.081	0.221	0.07	1.92	0.159	0.099	
CYP2C18	8.447	0.0	0.0	0.0	0.0	0.0	2.317	0.093	0.0	0.0	0.214	0.0	0.057	ENSG00000108242.13
CYP2C19	2.269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.209	0.0	0.084	ENSG00000165841.11
CYP2C8	113.059	0.33	0.0	0.0	11.754	0.526	5.708	0.479	0.0	1.027	10.155	2.278	1.616	ENSG00000138115.14
CYP2C9	98.937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.086	0.0	ENSG00000138109.11
CYP2E1	1016.486	4.508	1.877	0.107	0.218	4.397	0.59	6.396	5.243	7.498	2.718	5.642	1.366	ENSG00000130649.10
CYP2J2	24.864	9.993	49.582	0.57	5.016	20.673	4.577	22.674	116.921	13.989	28.951	7.942	2.665	ENSG00000134716.11
CYP2R1	10.66	8.265	20.823	16.273	26.996	14.644	8.237	16.614	18.759	26.013	25.523	13.677	22.216	ENSG00000186104.11
CYP2S1	5.916	4.737	0.843	1.174	0.927	1.294	0.269	0.903	0.493	1.087	0.968	1.187	0.776	ENSG00000167600.14
CYP2U1	7.98	42.641	14.363	21.307	36.723	11.792	29.678	24.022	27.314	38.653	70.553	37.292	27.369	ENSG00000155016.18
CYP39A1	14.387	3.364	61.249	72.834	34.294	17.177	1.065	2.341	60.917	17.923	2.611	8.518	28.902	ENSG00000146233.8
CYP3A4	103.66	0.467	0.359	0.0	1.982	0.745	0.0	1.606	0.0	0.073	1.165	0.167	0.726	ENSG00000160868.15
CYP3A43	2.554	0.165	0.0	0.0	0.0	3.29	0.0	0.959	0.163	0.205	1.189	0.314	0.22	ENSG00000021461.17
CYP3A5	22.304	9.609	5.145	1.87	15.602	15.697	9.658	8.396	3.072	8.822	9.005	3.068	6.007	ENSG00000106258.15
CYP46A1	0.0	1.606	0.984	0.336	0.341	0.0	0.231	0.116	2.377	2.296	4.358	0.153	0.5	ENSG00000036530.9
CYP4A11	92.14	0.128	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.427	0.122	0.057	ENSG00000187048.13
CYP4A22	5.143	0.847	0.326	0.498	0.337	0.508	0.0	0.23	0.105	2.771	1.822	0.151	0.094	ENSG00000162365.12
CYP4B1	0.0	0.462	31.456	0.0	0.0	0.123	0.0	0.67	0.0	91.177	5.461	0.806	0.068	ENSG00000142973.14
CYP4F11	30.498	15.824	48.817	7.337	1.811	24.471	0.205	0.824	63.188	12.409	23.158	27.416	0.379	ENSG00000171903.16
CYP4F12	3.901	0.641	0.393	0.419	2.553	0.894	0.346	0.581	0.474	6.476	1.331	12.117	0.57	ENSG00000186204.15
CYP4F2	40.891	0.0	2.69	0.0	0.0	0.983	1.281	0.099	3.246	1.703	0.076	0.521	0.0	ENSG00000186115.13
CYP4F22	0.048	0.0	0.0	0.0	0.0	2.002	0.903	0.0	7.939	0.156	0.974	0.119	0.056	ENSG00000171954.13
CYP4F3	39.658	0.413	0.445	0.216	1.753	4.205	1.262	0.224	0.715	10.032	0.401	6.686	0.184	ENSG00000186529.16
CYP4F30P	0.0	0.295	9.216	17.786	0.156	5.752	0.106	0.641	1.891	0.0	0.408	30.053	81.837	
CYP4F62P	0.0	0.819	9.976	18.487	0.0	2.831	0.295	0.198	0.405	0.085	0.53	14.486	103.607	
CYP4F8	0.0	28.246	3.566	0.0	0.562	19.53	0.0	0.0	482.394	5.263	74.148	0.336	0.549	ENSG00000186526.13
CYP4V2	30.521	45.989	40.633	21.427	63.786	60.877	29.993	70.297	72.983	10.974	30.744	26.827	19.628	ENSG00000145476.16
CYP4X1	52.135	37.927	17.099	62.642	22.439	6.92	4.029	74.979	28.07	406.826	106.665	46.15	11.139	ENSG00000186377.8
CYP4Z1	0.068	4.94	1.08	0.645	1.311	0.14	3.429	2.304	0.174	38.681	3.027	1.006	0.235	ENSG00000186160.5
CYP4Z2P	3.101	1.649	52.219	23.738	0.25	0.374	0.0	0.513	7.17	11.23	31.974	6.365	0.837	
CYP51A1	152.998	448.242	167.699	136.869	109.813	204.748	193.555	80.733	92.442	102.0	191.94	170.838	111.586	ENSG00000001630.17
CYP7A1	1.221	0.0	0.0	0.0	0.0	0.361	0.0	0.082	0.0	0.0	0.251	0.108	0.05	ENSG00000167910.4
CYP7B1	9.769	18.707	19.089	1.798	25.851	8.887	6.039	26.424	2.447	2.825	6.558	4.124	42.568	ENSG00000172817.4
CYP8B1	103.827	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.16	0.555	0.494	0.0	0.036	ENSG00000180432.6
CYR61	50.215	56.956	16.106	13.345	5.359	10.807	36.736	8.677	7.691	17.222	20.617	19.689	13.335	
CYSLTR1	1.373	16.684	4.928	2.793	3.543	0.355	4.082	2.095	2.202	15.801	1.975	6.782	3.958	ENSG00000173198.6
CYSLTR2	0.038	10.532	1.285	1.248	0.633	0.0	2.789	0.072	0.886	0.248	1.104	0.095	0.0	ENSG00000152207.7
CYSTM1	145.299	49.703	46.374	61.146	102.369	30.173	37.29	16.739	18.656	88.174	102.418	87.127	38.305	ENSG00000120306.11
CYTH1	30.339	39.772	44.458	36.078	33.18	39.736	44.393	16.796	37.391	51.034	35.973	25.507	16.243	ENSG00000108669.16
CYTH2	14.523	26.698	28.727	21.428	30.253	28.981	13.221	31.386	35.376	38.712	52.385	16.153	33.042	ENSG00000105443.15
CYTH3	9.497	25.652	28.563	21.049	29.355	19.627	26.691	13.943	16.5	92.055	55.592	39.358	29.44	ENSG00000008256.16
CYTH4	1.588	10.402	2.727	3.287	5.578	0.165	0.296	2.761	3.978	3.017	1.83	2.11	2.84	ENSG00000100055.21
CYTIP	0.927	44.127	2.302	1.962	0.637	0.12	1.404	0.653	0.148	4.107	1.414	2.213	3.069	ENSG00000115165.10
CYYR1	2.877	22.699	10.223	14.678	12.61	2.183	4.386	0.99	8.117	2.358	4.376	10.265	17.062	ENSG00000166265.13
D21S2088E	0.0	0.0	0.0	0.0	0.0	0.0	20.214	0.0	0.0	0.0	0.0	0.0	0.0	
D2HGDH	12.708	9.607	10.047	10.114	28.217	3.286	3.861	13.021	25.047	24.237	13.84	10.098	9.487	ENSG00000180902.18
DAAM1	21.243	69.976	73.368	96.684	52.191	56.209	78.162	46.85	55.247	141.719	102.93	56.792	76.1	ENSG00000100592.16
DAAM2	3.868	19.208	4.869	9.459	2.576	0.794	30.315	1.397	8.117	7.147	1.488	11.322	6.942	ENSG00000146122.17
DAB1	40.264	0.0	0.078	2.191	0.404	0.0	0.365	1.012	0.502	3.161	123.0	0.363	42.0	ENSG00000173406.16
DAB2	38.85	129.331	44.468	77.353	61.832	10.869	14.478	13.27	44.792	21.856	26.668	73.081	79.879	ENSG00000153071.15
DAB2IP	33.653	22.502	9.321	21.614	23.844	7.901	15.784	9.003	10.974	35.479	16.947	25.922	11.487	ENSG00000136848.17
DACH1	4.526	3.436	21.721	20.952	20.679	3.091	30.322	2.269	8.141	4.105	14.488	3.74	19.613	ENSG00000276644.5
DACH2	0.0	0.0	0.0	0.0	0.139	0.0	0.659	0.0	0.0	0.081	0.0	0.374	0.0	ENSG00000126733.21
DACT1	4.36	7.138	8.458	10.226	11.026	1.558	28.691	0.574	1.932	2.836	0.361	5.572	9.85	ENSG00000165617.15
DACT2	0.377	4.898	0.0	0.0	11.362	0.0	1.03	0.0	0.523	2.587	11.352	0.252	5.365	ENSG00000164488.12
DACT3	2.033	1.121	1.242	2.111	4.286	1.075	2.421	0.325	2.331	0.978	0.747	2.083	0.948	ENSG00000197380.11
DAD1	882.337	651.375	586.011	912.13	707.705	392.366	483.152	660.777	475.016	577.696	553.102	1024.4	664.607	ENSG00000129562.11
DAG1	130.613	135.986	109.081	137.535	135.496	80.575	76.456	58.61	222.523	177.574	239.699	107.302	97.684	ENSG00000173402.12
DAGLA	7.946	4.806	7.564	6.975	16.819	2.669	7.623	6.008	8.191	17.744	16.106	8.942	2.941	ENSG00000134780.10
DAGLB	12.223	15.623	15.933	15.002	23.344	6.775	18.31	11.401	15.574	27.117	30.535	17.489	18.663	ENSG00000164535.15
DALRD3	8.081	20.079	19.884	13.032	19.897	5.463	12.404	6.796	16.834	12.996	29.364	8.431	15.246	ENSG00000178149.17
DANCR	212.649	261.108	134.915	381.809	157.199	290.323	569.235	560.293	546.711	48.434	135.785	421.07	425.526	
DANT2	0.614	6.366	13.229	0.53	19.509	0.0	2.707	0.0	25.579	7.829	1.122	4.818	5.66	
DAO	10.91	1.291	0.131	0.0	0.0	0.342	0.62	0.0	0.423	0.0	0.0	0.102	0.0	ENSG00000110887.8
DAP	129.043	116.121	105.806	101.098	65.24	50.348	70.386	88.476	129.9	156.154	125.913	147.788	88.159	ENSG00000112977.16
DAP3	132.556	111.134	112.955	90.166	162.785	62.951	96.345	73.641	117.122	134.786	126.629	106.437	91.766	ENSG00000132676.16
DAPK1	6.829	56.623	11.994	23.494	17.887	32.609	50.742	1.772	37.295	24.395	35.076	5.87	194.966	ENSG00000196730.13
DAPK2	3.409	6.969	13.465	6.834	6.079	0.099	3.403	2.977	7.262	13.872	15.256	4.503	6.254	ENSG00000035664.11
DAPK3	10.548	24.46	21.423	22.288	10.176	18.249	9.265	6.533	13.0	16.284	21.087	11.638	9.985	ENSG00000167657.14
DAPL1	0.0	4.204	0.0	0.871	0.0	0.645	43.622	0.0	1.591	0.506	0.0	0.78	0.741	ENSG00000163331.12
DAPP1	1.5	20.642	0.798	1.3	1.033	0.086	0.311	0.157	1.177	22.023	1.08	2.111	1.394	ENSG00000070190.13
DARS	40.126	143.574	101.721	49.253	81.827	100.761	165.844	75.1	29.594	70.106	65.968	101.672	119.404	
DARS2	42.555	62.89	23.701	37.482	51.365	20.604	21.383	20.758	17.435	44.072	33.274	34.054	22.46	ENSG00000117593.12
DAXX	8.754	11.216	5.709	12.378	12.866	10.104	14.153	8.165	10.952	18.073	11.948	11.963	10.62	ENSG00000204209.13
DAZAP1	43.089	40.374	32.655	42.521	68.743	39.549	33.519	26.868	37.316	31.125	38.836	26.206	30.9	ENSG00000071626.17
DAZAP2	187.672	233.536	383.648	211.687	221.667	230.328	156.783	137.07	131.178	258.437	226.757	306.292	219.222	ENSG00000183283.16
DBF4	10.928	17.328	21.33	8.768	7.204	8.829	15.763	8.287	12.483	20.707	12.083	17.112	14.839	ENSG00000006634.8
DBF4B	2.685	3.425	1.172	3.298	8.315	2.156	3.785	6.066	6.317	10.66	3.879	5.634	2.614	ENSG00000161692.18
DBH	4.054	0.118	0.0	0.309	0.0	0.0	0.0	0.0	0.234	0.588	0.066	0.337	0.105	ENSG00000123454.12
DBH-AS1	0.573	0.0	0.0	0.078	0.0	0.118	0.0	0.0	1.172	0.277	0.0	0.0	0.0	
DBI	132.327	313.98	183.315	80.711	79.588	300.334	61.304	50.229	402.309	157.11	84.872	297.994	154.397	ENSG00000155368.16
DBIL5P	0.374	2.05	1.262	2.934	1.604	1.034	0.078	0.469	1.816	2.286	1.198	1.285	0.96	
DBN1	73.024	27.783	30.825	113.744	24.758	13.746	69.628	2.815	13.859	35.434	61.829	55.56	15.428	ENSG00000113758.13
DBNDD1	24.49	13.385	47.793	24.355	35.594	5.391	9.139	8.29	18.228	19.386	33.14	19.617	54.903	ENSG00000003249.15
DBNL	63.734	24.219	42.922	36.111	35.716	30.983	36.69	22.765	48.42	50.764	54.089	28.018	47.522	ENSG00000136279.21
DBP	4.839	2.429	5.941	3.124	10.314	1.337	2.017	4.745	4.601	4.407	8.474	3.106	9.796	ENSG00000105516.11
DBR1	20.089	51.829	22.316	35.297	47.043	18.218	31.01	19.176	33.739	47.547	23.231	25.373	31.525	ENSG00000138231.13
DBT	17.548	32.507	26.585	24.776	12.563	12.987	17.414	10.236	37.075	31.95	27.461	21.979	19.894	ENSG00000137992.14
DCAF10	28.256	31.062	32.999	25.769	55.617	42.626	30.715	26.978	39.276	51.442	61.006	39.61	37.367	ENSG00000122741.16
DCAF11	31.492	17.957	37.865	33.134	32.034	15.513	18.488	17.421	36.977	51.535	41.991	35.351	36.765	ENSG00000100897.18
DCAF12	81.515	63.091	88.302	51.231	72.745	90.043	91.054	38.426	129.5	153.731	76.317	87.83	77.185	ENSG00000198876.13
DCAF12L2	0.0	0.0	0.542	2.635	0.0	0.603	0.091	0.091	5.107	5.019	0.908	3.838	0.0	ENSG00000198354.7
DCAF13	39.549	64.498	66.594	47.782	33.783	58.502	109.227	48.27	33.304	45.713	40.31	72.088	57.312	ENSG00000164934.14
DCAF15	1.981	4.105	8.097	8.509	5.76	1.52	6.542	3.189	8.109	8.937	8.612	6.138	6.779	ENSG00000132017.10
DCAF16	28.552	64.718	30.147	53.326	76.506	67.063	72.516	43.777	58.622	56.302	61.622	101.949	68.185	ENSG00000163257.11
DCAF17	5.003	10.247	13.073	44.579	22.968	12.145	15.058	18.269	19.77	10.649	16.056	17.482	17.164	ENSG00000115827.14
DCAF4	4.257	11.93	11.037	18.851	13.621	14.844	30.373	13.389	17.123	14.695	16.007	10.076	11.295	ENSG00000119599.17
DCAF4L2	0.0	0.0	0.06	0.0	0.0	0.0	134.98	0.0	0.0	0.483	0.054	0.415	0.0	ENSG00000176566.5
DCAF5	19.446	35.318	54.989	48.248	46.389	41.771	34.795	34.464	42.595	70.145	59.474	32.661	37.082	ENSG00000139990.18
DCAF6	43.449	88.368	166.898	141.357	89.794	156.885	46.434	89.296	228.958	78.345	218.302	59.33	125.758	ENSG00000143164.15
DCAF7	71.731	72.307	83.989	105.923	77.472	139.238	130.677	81.307	185.785	145.897	91.539	104.772	129.076	ENSG00000136485.15
DCAF8	21.798	57.006	37.922	52.461	118.355	32.398	15.699	32.715	41.834	54.282	62.918	42.509	52.333	ENSG00000132716.19
DCAKD	88.893	108.341	111.699	92.814	198.979	84.113	33.246	94.886	101.626	87.18	110.211	289.652	84.914	ENSG00000172992.12
DCBLD1	12.965	17.455	8.615	18.867	14.754	4.318	3.049	5.654	12.702	31.48	10.788	9.585	12.353	ENSG00000164465.19
DCBLD2	26.333	40.954	17.077	25.889	35.398	26.591	104.46	1.641	26.257	20.057	21.388	27.497	12.52	ENSG00000057019.16
DCC	0.012	1.154	0.339	0.239	0.387	0.073	20.628	1.34	0.121	1.14	0.068	0.015	0.081	ENSG00000187323.12
DCDC2	3.413	0.985	0.041	0.55	0.627	0.21	20.125	18.821	0.261	0.164	1.899	0.282	1.753	ENSG00000146038.12
DCDC2B	3.334	5.475	6.181	9.391	28.227	8.467	2.44	4.357	12.271	22.896	18.252	5.804	7.986	ENSG00000222046.2
DCHS1	1.827	6.478	5.263	6.287	6.391	0.601	7.997	1.312	4.87	10.502	2.47	7.622	5.654	ENSG00000166341.8
DCHS2	0.0	0.077	0.032	0.108	0.027	0.0	23.862	0.019	0.077	0.129	0.072	0.012	0.057	ENSG00000197410.14
DCK	17.161	38.193	17.916	20.763	16.142	12.434	19.53	7.831	13.294	51.472	28.849	36.307	10.448	ENSG00000156136.10
DCLK1	0.676	1.555	1.551	8.901	2.418	0.362	27.93	0.179	0.853	6.518	1.545	13.715	65.687	ENSG00000133083.15
DCLK2	2.615	5.705	2.363	4.914	16.49	13.414	13.928	9.099	8.958	8.206	20.158	4.617	3.6	ENSG00000170390.16
DCLRE1A	20.246	11.485	28.879	17.997	14.52	39.961	21.251	24.549	22.594	28.429	6.311	23.843	20.718	ENSG00000198924.8
DCLRE1B	24.01	27.778	7.291	16.303	23.492	24.115	27.463	5.442	13.646	30.554	19.002	20.855	9.166	ENSG00000118655.7
DCLRE1C	6.364	18.015	7.848	9.174	9.757	12.648	9.835	11.74	13.497	14.26	20.508	10.059	11.152	ENSG00000152457.18
DCN	149.785	346.662	94.2	170.273	77.786	7.098	16.475	14.792	83.285	42.832	37.286	27.834	85.22	ENSG00000011465.18
DCP1A	33.488	60.725	42.93	50.337	43.727	26.823	53.15	22.799	32.839	49.554	43.353	46.624	48.258	ENSG00000272886.6
DCP1B	39.211	43.664	22.369	43.902	38.577	19.678	33.49	19.185	48.435	32.292	34.948	40.614	38.535	ENSG00000151065.14
DCP2	12.806	15.506	11.811	11.638	17.987	17.274	16.08	8.711	15.851	36.292	17.226	24.276	20.915	ENSG00000172795.17
DCPS	45.101	34.615	16.813	27.483	28.304	11.133	19.865	29.724	22.283	38.818	42.986	16.08	21.189	ENSG00000110063.10
DCST2	1.103	3.674	3.176	1.494	10.114	2.279	0.49	3.946	0.403	5.589	5.884	1.295	3.146	ENSG00000163354.15
DCSTAMP	0.522	1.521	0.311	0.707	13.278	0.0	0.0	2.697	0.167	0.84	1.123	0.08	1.052	ENSG00000164935.6
DCTD	32.431	64.801	46.826	60.39	58.724	31.931	27.677	63.615	75.069	44.644	52.008	83.708	66.772	ENSG00000129187.14
DCTN1	33.213	58.566	56.236	29.747	51.27	28.036	46.146	14.897	46.872	39.425	60.138	54.478	62.144	ENSG00000204843.12
DCTN2	90.009	63.012	209.824	85.762	97.268	79.877	61.975	50.254	100.808	132.463	96.258	67.849	79.981	ENSG00000175203.17
DCTN3	206.396	96.314	186.736	86.968	181.871	127.412	77.26	84.492	407.829	284.205	181.922	223.336	190.438	ENSG00000137100.16
DCTN4	29.016	36.263	75.44	62.604	44.851	80.655	39.832	46.057	47.241	57.33	69.417	56.537	68.911	ENSG00000132912.13
DCTN5	26.428	56.695	53.239	54.317	37.824	32.512	25.054	35.309	51.083	53.303	30.929	71.058	56.261	ENSG00000166847.10
DCTN6	91.597	91.511	60.026	105.725	63.265	42.479	148.459	27.423	45.638	56.027	58.099	66.087	54.887	ENSG00000104671.8
DCTPP1	201.756	97.284	114.915	113.164	70.552	84.979	87.777	104.029	47.507	171.737	86.984	162.583	104.863	ENSG00000179958.10
DCUN1D1	24.566	46.114	25.108	25.497	47.314	21.068	18.873	18.724	23.005	35.618	20.186	22.158	27.013	ENSG00000043093.15
DCUN1D2	12.205	29.193	25.806	15.215	61.998	7.604	11.235	11.234	24.986	26.79	34.786	13.552	17.98	ENSG00000150401.15
DCUN1D3	6.513	12.014	6.486	8.359	6.499	7.333	5.954	6.57	7.067	7.838	7.045	12.093	11.746	ENSG00000188215.10
DCUN1D4	15.618	32.874	36.157	34.27	38.632	15.806	29.133	17.753	17.92	32.685	29.147	31.821	30.639	ENSG00000109184.15
DCUN1D5	2.828	9.9	13.387	9.988	9.046	9.896	6.949	6.548	10.095	6.348	7.018	13.465	9.757	ENSG00000137692.12
DCX	0.0	0.032	0.0	0.47	0.0	0.0	37.231	0.0	0.0	0.0	0.018	0.015	0.029	ENSG00000077279.19
DCXR	271.917	349.578	806.755	337.83	630.56	116.62	88.982	425.313	1399.77	164.514	571.137	525.548	1072.84	ENSG00000169738.8
DDA1	25.176	19.23	21.466	16.036	24.904	5.13	2.25	14.095	21.633	16.344	16.164	20.73	13.009	ENSG00000130311.11
DDAH1	75.928	82.776	85.174	92.128	51.436	328.988	76.89	78.851	36.399	162.558	199.308	128.879	91.887	ENSG00000153904.21
DDAH2	4.214	0.998	2.349	6.411	4.435	2.666	2.242	0.766	1.379	6.336	6.278	3.963	2.458	ENSG00000213722.10
DDB1	67.042	83.086	99.708	118.003	97.067	81.93	113.278	58.417	86.493	99.593	108.127	96.497	122.542	ENSG00000167986.14
DDB2	26.906	20.643	38.334	10.311	58.572	17.441	9.204	24.653	27.721	49.565	14.654	14.754	8.686	ENSG00000134574.12
DDC	11.366	1.057	0.081	61.603	422.505	4.952	242.548	0.191	0.0	1650.6	38.591	0.503	19.027	ENSG00000132437.18
DDC-AS1	0.0	0.0	0.0	0.1	2.635	0.0	0.825	0.0	0.0	32.348	0.211	0.0	0.255	
DDHD1	2.278	21.555	7.64	7.364	9.704	14.917	24.84	15.628	17.761	15.738	14.146	12.599	9.747	ENSG00000100523.16
DDHD2	22.745	41.691	14.486	20.174	20.609	53.317	23.937	11.528	25.162	56.279	21.627	9.523	14.468	ENSG00000085788.14
DDI1	0.0	0.375	0.077	0.065	0.0	0.0	0.36	0.091	0.247	1.324	0.347	0.06	0.389	ENSG00000170967.5
DDI2	29.385	33.635	49.829	49.014	36.75	54.093	17.014	21.461	43.516	65.495	68.416	50.078	32.356	ENSG00000197312.12
DDIAS	8.572	22.422	3.442	7.02	1.243	6.914	22.81	7.501	6.694	14.435	5.003	15.669	5.328	ENSG00000165490.13
DDIT3	22.997	19.241	79.726	38.723	43.761	41.267	13.412	40.421	27.774	24.125	66.705	19.064	24.527	ENSG00000175197.12
